;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
90;#NowPlaying @FiersaBesari - Pengecut #THEGOODVIBES;0;hashtag now playing hashtag user pengecut hashtag thegoodvibes hashtag;['hashtag', 'now', 'playing', 'hashtag', 'user', 'pengecut', 'hashtag', 'thegoodvibes', 'hashtag'];['hashtag', 'now', 'playing', 'hashtag', 'user', 'pengecut', 'hashtag', 'thegoodvibes', 'hashtag'];hashtag now playing hashtag user pengecut hashtag thegoodvibes hashtag;hashtag now playing hashtag user kecut hashtag thegoodvibes hashtag
91;RT @FiersaBesari: Jepretan @i_______yan https://t.co/T36I37hIej;0;rt user jepretan user cot36i37hiej;['rt', 'user', 'jepretan', 'user', 'cot36i37hiej'];['rt', 'user', 'jepretan', 'user', 'cot36i37hiej'];rt user jepretan user cot36i37hiej;rt user jepret user cot36i37hiej
92;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
93;"RT @FiersaBesari: “Melihatmu tersenyum, walau tak pernah berbalas. Bahagiamu juga bahagiaku”
.
Terima kasih, Cimahi. Intim sekali ❤️ https:…";0;rt user melihatmu tersenyum walau tak pernah berbalas bahagiamu juga bahagiaku terima kasih cimahi intim sekali https;['rt', 'user', 'melihatmu', 'tersenyum', 'walau', 'tak', 'pernah', 'berbalas', 'bahagiamu', 'juga', 'bahagiaku', 'terima', 'kasih', 'cimahi', 'intim', 'sekali', 'https'];['rt', 'user', 'melihatmu', 'tersenyum', 'walau', 'tak', 'pernah', 'berbalas', 'bahagiamu', 'juga', 'bahagiaku', 'terima', 'kasih', 'cimahi', 'intim', 'sekali', 'https'];rt user melihatmu tersenyum walau tak pernah berbalas bahagiamu juga bahagiaku terima kasih cimahi intim sekali https;rt user lihat senyum tak pernah balas bahagia bahagia terima kasih cimahi intim sekali https
94;RT @FiersaBesari: Terima kasih karena telah berjuang sampai Semarang https://t.co/YQeMHzN8Rh;0;rt user terima kasih karena telah berjuang sampai semarang coyqemhzn8rh;['rt', 'user', 'terima', 'kasih', 'karena', 'telah', 'berjuang', 'sampai', 'semarang', 'coyqemhzn8rh'];['rt', 'user', 'terima', 'kasih', 'karena', 'telah', 'berjuang', 'sampai', 'semarang', 'coyqemhzn8rh'];rt user terima kasih karena telah berjuang sampai semarang coyqemhzn8rh;rt user terima kasih telah juang semarang coyqemhzn8rh
95;@FiersaBesari pelan tapi pasti;0;user pelan tapi pasti;['user', 'pelan', 'tapi', 'pasti'];['user', 'pelan', 'tapi', 'pasti'];user pelan tapi pasti;user pelan pasti
96;@ahmadaffann @FiersaBesari aku tolong promoteeeee xD;0;user user aku tolong promoteeeee laugh;['user', 'user', 'aku', 'tolong', 'promoteeeee', 'laugh'];['user', 'user', 'aku', 'tolong', 'promoteeeee', 'laugh'];user user aku tolong promoteeeee laugh;user user aku promoteeeee laugh
97;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
98;@Miduk17 @FiersaBesari Om  ikut dong om GPP deh kerja jadi buzzer drpd makin sulit nyari uang, katanya sih mau biki… https://t.co/vTRQs11RdK;0;user user om ikut dong om gpp deh kerja jadi buzzer drpd makin sulit nyari uang katanya sih mau biki covtrqs11rdk;['user', 'user', 'om', 'ikut', 'dong', 'om', 'gpp', 'deh', 'kerja', 'jadi', 'buzzer', 'drpd', 'makin', 'sulit', 'nyari', 'uang', 'katanya', 'sih', 'mau', 'biki', 'covtrqs11rdk'];['user', 'user', 'om', 'ikut', 'dong', 'om', 'baik', 'deh', 'kerja', 'jadi', 'buzzer', 'daripada', 'makin', 'sulit', 'mencari', 'uang', 'katanya', 'sih', 'mau', 'biki', 'covtrqs11rdk'];user user om ikut dong om baik deh kerja jadi buzzer daripada makin sulit mencari uang katanya sih mau biki covtrqs11rdk;user user om ikut dong om baik deh kerja jadi buzzer makin sulit cari uang kata sih mau bik covtrqs11rdk
99;@fs_andika @FiersaBesari Om buzzer ya, ikut dong om GPP deh kerja jadi buzzer drpd makin sulit nyari uang, katanya… https://t.co/pLd1FIVHBK;0;user user om buzzer ya ikut dong om gpp deh kerja jadi buzzer drpd makin sulit nyari uang katanya copld1fivhbk;['user', 'user', 'om', 'buzzer', 'ya', 'ikut', 'dong', 'om', 'gpp', 'deh', 'kerja', 'jadi', 'buzzer', 'drpd', 'makin', 'sulit', 'nyari', 'uang', 'katanya', 'copld1fivhbk'];['user', 'user', 'om', 'buzzer', 'iya', 'ikut', 'dong', 'om', 'baik', 'deh', 'kerja', 'jadi', 'buzzer', 'daripada', 'makin', 'sulit', 'mencari', 'uang', 'katanya', 'copld1fivhbk'];user user om buzzer iya ikut dong om baik deh kerja jadi buzzer daripada makin sulit mencari uang katanya copld1fivhbk;user user om buzzer iya ikut dong om baik deh kerja jadi buzzer makin sulit cari uang kata copld1fivhbk
